"Step","lemon-disco-5 - train/loss","lemon-disco-5 - train/loss__MIN","lemon-disco-5 - train/loss__MAX"
"692","1.6645","1.6645","1.6645"
"693","1.6645","1.6645","1.6645"
"694","1.7072","1.7072","1.7072"
"695","1.7072","1.7072","1.7072"
"696","1.6481","1.6481","1.6481"
"697","1.6481","1.6481","1.6481"
"698","1.6575","1.6575","1.6575"
"699","1.6575","1.6575","1.6575"
"700","1.4782","1.4782","1.4782"
"701","1.4782","1.4782","1.4782"
"702","1.5886","1.5886","1.5886"
"703","1.5886","1.5886","1.5886"
"704","1.5976","1.5976","1.5976"
"705","1.5976","1.5976","1.5976"
"706","1.6599","1.6599","1.6599"
"707","1.6599","1.6599","1.6599"
"708","1.6605","1.6605","1.6605"
"709","1.6605","1.6605","1.6605"
"710","1.6933","1.6933","1.6933"
"711","1.6933","1.6933","1.6933"
"712","1.4615","1.4615","1.4615"
"713","1.4615","1.4615","1.4615"
"714","1.5901","1.5901","1.5901"
"715","1.5901","1.5901","1.5901"
"716","1.4636","1.4636","1.4636"
"717","1.4636","1.4636","1.4636"
"718","1.5367","1.5367","1.5367"
"719","1.5367","1.5367","1.5367"
"720","1.6039","1.6039","1.6039"
"721","1.6039","1.6039","1.6039"
"722","1.6133","1.6133","1.6133"
"723","1.6133","1.6133","1.6133"
"724","1.6633","1.6633","1.6633"
"725","1.6633","1.6633","1.6633"
"726","1.5761","1.5761","1.5761"
"727","1.5761","1.5761","1.5761"
"728","1.5997","1.5997","1.5997"
